ORDERDATE,PRODUCTLINE,CUSTOMERNAME,COUNTRY,SALES,QUANTITYORDERED,PRICEEACH,STATUS
2003-11-25,Vintage Cars,"Saveley & Henriot, Co.",France,1835.98,41,44.78,Shipped
2003-12-05,Vintage Cars,Canadian Gift Exchange Network,Canada,1119.93,21,53.33,Shipped
2004-01-29,Vintage Cars,West Coast Collectables Co.,USA,2082.88,46,45.28,Shipped
2004-03-11,Vintage Cars,Mini Gifts Distributors Ltd.,USA,1569.75,39,40.25,Shipped
2004-05-04,Vintage Cars,Super Scale Inc.,USA,2694.15,45,59.87,Shipped
2004-06-15,Vintage Cars,"Tokyo Collectables, Ltd",Japan,1257.27,21,59.87,Shipped
2004-07-19,Vintage Cars,Souveniers And Things Co.,Australia,2567.84,44,58.36,Shipped
2004-08-19,Vintage Cars,Diecast Classics Inc.,USA,2634.28,44,59.87,Shipped
2004-09-08,Vintage Cars,Scandinavian Gift Ideas,Sweden,1502.78,29,51.82,Shipped
2004-10-11,Vintage Cars,Auto Assoc. & Cie.,France,1676.2,34,49.3,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,2217.15,39,56.85,Shipped
2004-11-05,Vintage Cars,Vitachrome Inc.,USA,6832.02,38,100.0,Shipped
2004-11-18,Vintage Cars,Mini Wheels Co.,USA,1916.64,24,79.86,Shipped
2004-11-01,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,7110.8,29,100.0,Shipped
2004-12-10,Vintage Cars,Euro Shopping Channel,Spain,5302.8,30,100.0,Shipped
2005-01-20,Vintage Cars,"Anna's Decorations, Ltd",Australia,2730.0,20,100.0,Shipped
2005-02-17,Vintage Cars,Mini Gifts Distributors Ltd.,USA,7827.3,39,100.0,Shipped
2005-05-01,Vintage Cars,Quebec Home Shopping Network,Canada,2095.45,35,59.87,Shipped
2005-05-31,Vintage Cars,Euro Shopping Channel,Spain,1556.62,26,59.87,In Process
2003-03-03,Classic Cars,Cruz & Sons Co.,Philippines,5565.12,44,100.0,Shipped
2003-05-08,Classic Cars,Marseille Mini Autos,France,3583.16,28,100.0,Shipped
2003-07-02,Classic Cars,Mini Gifts Distributors Ltd.,USA,4705.18,31,100.0,Shipped
2003-09-03,Classic Cars,Gift Ideas Corp.,USA,4444.54,29,100.0,Shipped
2003-10-10,Classic Cars,Corporate Gift Ideas Co.,USA,4618.88,32,100.0,Shipped
2003-11-04,Classic Cars,"Anna's Decorations, Ltd",Australia,4910.4,33,100.0,Shipped
2003-11-11,Classic Cars,Daedalus Designs Imports,France,5565.12,44,100.0,Shipped
2003-11-20,Classic Cars,"Toms Spezialitten, Ltd",Germany,4237.76,32,100.0,Shipped
2004-01-15,Classic Cars,Auto Canal Petit,France,5673.58,41,100.0,Shipped
2004-02-22,Classic Cars,"Vida Sport, Ltd",Switzerland,5260.15,35,100.0,Shipped
2004-04-09,Classic Cars,Danish Wholesale Imports,Denmark,6350.96,44,100.0,Shipped
2004-05-26,Classic Cars,Auto Canal Petit,France,3559.4,26,100.0,Shipped
2004-06-30,Classic Cars,Gifts4AllAges.com,USA,2410.6,20,100.0,Shipped
2004-08-02,Classic Cars,Online Mini Collectables,USA,5713.92,48,100.0,Shipped
2004-08-30,Classic Cars,"Vida Sport, Ltd",Switzerland,4300.32,34,100.0,Shipped
2004-09-30,Classic Cars,"Toys of Finland, Co.",Finland,7947.31,49,100.0,Shipped
2004-10-16,Classic Cars,"Toms Spezialitten, Ltd",Germany,5356.8,40,100.0,Shipped
2004-11-03,Classic Cars,Microscale Inc.,USA,7901.1,45,100.0,Shipped
2004-11-16,Classic Cars,Cruz & Sons Co.,Philippines,6101.0,50,100.0,Shipped
2004-11-24,Classic Cars,"Australian Collectors, Co.",Australia,6276.46,38,100.0,Shipped
2004-12-07,Classic Cars,Euro Shopping Channel,Spain,4203.5,25,100.0,Shipped
2005-01-06,Classic Cars,Suominen Souveniers,Finland,1629.04,28,58.18,Shipped
2005-02-10,Classic Cars,Euro Shopping Channel,Spain,3289.86,49,67.14,Shipped
2005-03-04,Classic Cars,Mini Gifts Distributors Ltd.,USA,6862.94,49,100.0,Shipped
2003-03-18,Classic Cars,"AV Stores, Co.",UK,2574.18,42,61.29,Shipped
2003-05-21,Classic Cars,Signal Gift Stores,USA,1327.79,23,57.73,Shipped
2003-09-11,Classic Cars,"Anna's Decorations, Ltd",Australia,2356.25,29,81.25,Shipped
2003-10-17,Classic Cars,Heintze Collectables,Denmark,2013.5,25,80.54,Shipped
2003-11-05,Classic Cars,Rovelli Gifts,Italy,2807.22,39,71.98,Shipped
2003-11-12,Classic Cars,Mini Gifts Distributors Ltd.,USA,3072.96,44,69.84,Shipped
2003-11-21,Classic Cars,"Australian Collectables, Ltd",Australia,1906.5,25,76.26,Shipped
2003-12-02,Classic Cars,Muscle Machine Inc,USA,3431.7,45,76.26,Shipped
2004-01-22,Classic Cars,"Double Decker Gift Stores, Ltd",UK,2084.75,25,83.39,Shipped
2004-03-02,Classic Cars,"Saveley & Henriot, Co.",France,2136.01,37,57.73,Shipped
2004-04-13,Classic Cars,Mini Caravy,France,2009.7,30,66.99,Shipped
2004-07-07,Classic Cars,Muscle Machine Inc,USA,2719.8,36,75.55,Shipped
2004-08-09,Classic Cars,Euro Shopping Channel,Spain,1575.08,26,60.58,Shipped
2004-09-01,Classic Cars,Handji Gifts& Co,Singapore,1688.43,23,73.41,Shipped
2003-10-06,Classic Cars,"UK Collectables, Ltd.",UK,1672.1,23,72.7,Shipped
2004-10-16,Classic Cars,Euro Shopping Channel,Spain,1674.75,25,66.99,Shipped
2004-11-17,Classic Cars,"AV Stores, Co.",UK,3472.98,21,100.0,Shipped
2004-11-25,Classic Cars,Marseille Mini Autos,France,1649.18,26,63.43,Shipped
2005-01-12,Classic Cars,Toys4GrownUps.com,USA,3751.0,44,85.25,Resolved
2005-02-16,Classic Cars,Euro Shopping Channel,Spain,4536.0,24,100.0,Shipped
2005-04-22,Classic Cars,The Sharp Gifts Warehouse,USA,4421.34,66,66.99,On Hold
2005-05-29,Classic Cars,Souveniers And Things Co.,Australia,2078.28,36,57.73,In Process
2003-03-18,Classic Cars,"AV Stores, Co.",UK,3069.0,36,85.25,Shipped
2003-05-21,Classic Cars,Signal Gift Stores,USA,1713.8,22,77.9,Shipped
2003-09-11,Classic Cars,"Anna's Decorations, Ltd",Australia,1506.5,25,60.26,Shipped
2003-10-17,Classic Cars,Heintze Collectables,Denmark,2692.12,37,72.76,Shipped
2003-11-05,Classic Cars,Gift Depot Inc.,USA,2422.08,32,75.69,Shipped
2003-11-12,Classic Cars,Mini Gifts Distributors Ltd.,USA,3488.34,47,74.22,Shipped
2003-11-20,Classic Cars,Online Diecast Creations Co.,USA,2583.34,37,69.82,Shipped
2003-12-02,Classic Cars,Muscle Machine Inc,USA,1249.4,20,62.47,Shipped
2004-01-16,Classic Cars,Euro Shopping Channel,Spain,3374.71,41,82.31,Shipped
2004-02-26,Classic Cars,Collectable Mini Designs Co.,USA,1265.46,21,60.26,Shipped
2004-04-13,Classic Cars,Mini Caravy,France,1681.46,22,76.43,Shipped
2004-07-07,Classic Cars,Muscle Machine Inc,USA,3204.0,40,80.1,Shipped
2004-08-09,Classic Cars,Euro Shopping Channel,Spain,2398.72,32,74.96,Shipped
2004-09-01,Classic Cars,Handji Gifts& Co,Singapore,2381.04,36,66.14,Shipped
2003-10-05,Classic Cars,"Norway Gifts By Mail, Co.",Norway,1944.54,27,72.02,Shipped
2004-10-16,Classic Cars,Euro Shopping Channel,Spain,2273.7,26,87.45,Shipped
2004-11-04,Classic Cars,FunGiftIdeas.com,USA,2116.5,30,70.55,Shipped
2004-11-17,Classic Cars,"AV Stores, Co.",UK,1307.32,23,56.84,Shipped
2004-11-25,Classic Cars,Marseille Mini Autos,France,1726.37,29,59.53,Shipped
2005-01-12,Classic Cars,Toys4GrownUps.com,USA,1267.77,21,60.37,Resolved
2005-02-16,Classic Cars,Euro Shopping Channel,Spain,3441.82,34,100.0,Shipped
2005-04-22,Classic Cars,The Sharp Gifts Warehouse,USA,1987.18,26,76.43,On Hold
2005-05-29,Classic Cars,Souveniers And Things Co.,Australia,3880.2,60,64.67,In Process
2003-01-31,Classic Cars,Euro Shopping Channel,Spain,1942.15,35,55.49,Shipped
2003-04-04,Classic Cars,Classic Legends Inc.,USA,3259.92,47,69.36,Shipped
2003-06-03,Classic Cars,Muscle Machine Inc,USA,1213.8,20,60.69,Shipped
2003-08-01,Classic Cars,Suominen Souveniers,Finland,1086.6,20,54.33,Shipped
2003-09-25,Classic Cars,"Australian Gift Network, Co",Australia,1632.75,25,65.31,Shipped
2003-10-22,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,1734.0,25,69.36,Shipped
2003-11-06,Classic Cars,L'ordine Souveniers,Italy,1857.06,27,68.78,Shipped
2003-11-14,Classic Cars,"Iberia Gift Imports, Corp.",Spain,1863.41,31,60.11,Shipped
2003-11-25,Classic Cars,Mini Classics,USA,2924.68,44,66.47,Shipped
2003-12-09,Classic Cars,Diecast Collectables,USA,2294.18,49,46.82,Shipped
2004-02-12,Classic Cars,"Clover Collections, Co.",Ireland,1457.82,26,56.07,Shipped
2004-03-15,Classic Cars,"Blauer See Auto, Co.",Germany,1955.88,36,54.33,Shipped
2004-05-05,Classic Cars,Euro Shopping Channel,Spain,2314.4,44,52.6,Shipped
2004-06-15,Classic Cars,Handji Gifts& Co,Singapore,1310.96,28,46.82,Shipped
2004-07-20,Classic Cars,Mini Gifts Distributors Ltd.,USA,2913.3,45,64.74,Shipped
2004-08-20,Classic Cars,Mini Gifts Distributors Ltd.,USA,1357.78,29,46.82,Shipped
2004-09-08,Classic Cars,Land of Toys Inc.,USA,2150.0,40,53.75,Shipped
2004-10-13,Classic Cars,Marta's Replicas Co.,USA,2783.25,45,61.85,Shipped
2004-10-22,Classic Cars,Heintze Collectables,Denmark,2339.92,44,53.18,Shipped
2004-11-05,Classic Cars,Vitachrome Inc.,USA,1729.0,25,69.16,Shipped
2004-11-20,Classic Cars,"La Corne D'abondance, Co.",France,5972.4,45,100.0,Shipped
2004-12-01,Classic Cars,Muscle Machine Inc,USA,2275.2,48,47.4,Shipped
2004-12-10,Classic Cars,Euro Shopping Channel,Spain,2673.44,44,60.76,Shipped
2005-01-23,Classic Cars,Mini Gifts Distributors Ltd.,USA,2431.75,25,97.27,Shipped
2005-02-22,Classic Cars,Euro Shopping Channel,Spain,2018.72,22,91.76,Shipped
2005-03-15,Classic Cars,Euro Shopping Channel,Spain,1558.99,31,50.29,Shipped
2005-05-03,Classic Cars,Euro Shopping Channel,Spain,1104.6,21,52.6,Shipped
2005-05-31,Classic Cars,La Rochelle Gifts,France,2575.1,55,46.82,In Process
2003-02-24,Motorcycles,Land of Toys Inc.,USA,2845.75,25,100.0,Shipped
2003-04-29,Motorcycles,"Australian Collectors, Co.",Australia,3431.75,35,98.05,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,3273.9,35,93.54,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,4119.4,43,95.8,Shipped
2003-10-10,Motorcycles,Corporate Gift Ideas Co.,USA,5355.68,44,100.0,Shipped
2003-10-28,Motorcycles,Technics Stores Inc.,USA,5747.5,50,100.0,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,5355.36,48,100.0,Shipped
2003-11-18,Motorcycles,Herkku Gifts,Norway,2535.75,25,100.0,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,4351.23,39,100.0,Shipped
2004-01-15,Motorcycles,Auto Canal Petit,France,2254.0,25,90.16,Shipped
2004-02-20,Motorcycles,"Australian Collectors, Co.",Australia,2921.28,32,91.29,Shipped
2004-04-05,Motorcycles,Vitachrome Inc.,USA,2299.0,20,100.0,Shipped
2004-05-18,Motorcycles,Tekni Collectables Inc.,USA,2637.18,26,100.0,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,4307.52,42,100.0,Shipped
2004-07-23,Motorcycles,La Rochelle Gifts,France,2153.76,21,100.0,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,3716.88,34,100.0,Shipped
2004-09-30,Motorcycles,"Toys of Finland, Co.",Finland,5455.76,47,100.0,Shipped
2004-10-15,Motorcycles,Baane Mini Imports,Norway,2650.62,21,100.0,Shipped
2004-11-02,Motorcycles,Diecast Classics Inc.,USA,6437.28,48,100.0,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,2633.4,30,87.78,Shipped
2004-11-23,Motorcycles,"Tokyo Collectables, Ltd",Japan,2278.53,27,84.39,Shipped
2005-01-05,Motorcycles,Technics Stores Inc.,USA,4846.0,50,96.92,Shipped
2005-02-02,Motorcycles,"Australian Gift Network, Co",Australia,4197.1,38,100.0,Shipped
2005-03-03,Motorcycles,Scandinavian Gift Ideas,Sweden,4597.65,45,100.0,Shipped
2005-04-08,Motorcycles,"UK Collectables, Ltd.",UK,5287.7,46,100.0,Shipped
2005-05-13,Motorcycles,Euro Shopping Channel,Spain,3550.05,35,100.0,Disputed
2003-03-18,Classic Cars,"AV Stores, Co.",UK,1721.73,29,59.37,Shipped
2003-05-20,Classic Cars,Atelier graphique,France,2993.5,50,59.87,Shipped
2003-07-10,Classic Cars,Reims Collectables,France,1295.06,26,49.81,Shipped
2003-09-11,Classic Cars,"Anna's Decorations, Ltd",Australia,2671.95,47,56.85,Shipped
2003-10-17,Classic Cars,Heintze Collectables,Denmark,1226.59,23,53.33,Shipped
2003-11-05,Classic Cars,Gift Depot Inc.,USA,1453.84,34,42.76,Shipped
2003-11-12,Classic Cars,Herkku Gifts,Norway,1830.22,34,53.83,Shipped
2003-11-20,Classic Cars,Online Diecast Creations Co.,USA,2530.01,47,53.83,Shipped
2003-12-02,Classic Cars,Muscle Machine Inc,USA,2241.45,45,49.81,Shipped
2004-01-16,Classic Cars,Euro Shopping Channel,Spain,2399.85,45,53.33,Shipped
2004-02-26,Classic Cars,Collectable Mini Designs Co.,USA,1557.72,36,43.27,Shipped
2004-04-13,Classic Cars,Mini Caravy,France,845.25,21,40.25,Shipped
2004-07-06,Classic Cars,L'ordine Souveniers,Italy,1352.4,28,48.3,Shipped
2004-08-06,Classic Cars,Signal Gift Stores,USA,1584.8,35,45.28,Shipped
2004-09-01,Classic Cars,Handji Gifts& Co,Singapore,2616.0,50,52.32,Shipped
2003-10-05,Classic Cars,"Norway Gifts By Mail, Co.",Norway,1129.04,22,51.32,Shipped
2004-10-16,Classic Cars,Euro Shopping Channel,Spain,2218.5,45,49.3,Shipped
2004-11-04,Classic Cars,FunGiftIdeas.com,USA,2028.48,48,42.26,Shipped
2004-11-17,Classic Cars,"AV Stores, Co.",UK,1759.2,20,87.96,Shipped
2004-11-24,Classic Cars,Reims Collectables,France,977.67,27,36.21,Shipped
2005-01-12,Classic Cars,Toys4GrownUps.com,USA,1463.0,38,38.5,Resolved
2005-02-10,Classic Cars,Euro Shopping Channel,Spain,3970.56,32,100.0,Shipped
2005-04-22,Classic Cars,The Sharp Gifts Warehouse,USA,2576.0,64,40.25,On Hold
2005-05-29,Classic Cars,Souveniers And Things Co.,Australia,2233.69,37,60.37,In Process
2003-02-17,Planes,Rovelli Gifts,Italy,2481.64,28,88.63,Shipped
2003-04-29,Planes,"Australian Collectors, Co.",Australia,4651.53,39,100.0,Shipped
2003-06-27,Planes,Euro Shopping Channel,Spain,3858.1,41,94.1,Shipped
2003-08-25,Planes,Toys4GrownUps.com,USA,3501.6,40,87.54,Shipped
2003-10-28,Planes,Technics Stores Inc.,USA,6433.7,49,100.0,Shipped
2004-01-12,Planes,Osaka Souveniers Co.,Japan,2658.96,27,98.48,Shipped
2004-02-20,Planes,"Australian Collectors, Co.",Australia,3608.76,34,100.0,Shipped
2004-04-02,Planes,"Royal Canadian Collectables, Ltd.",Canada,2214.67,23,96.29,Shipped
2004-05-11,Planes,The Sharp Gifts Warehouse,USA,2747.53,31,88.63,Shipped
2004-06-24,Planes,Euro Shopping Channel,Spain,3310.92,34,97.38,Cancelled
2004-07-23,Planes,La Rochelle Gifts,France,2380.0,25,95.2,Shipped
2004-08-21,Planes,"Norway Gifts By Mail, Co.",Norway,2310.88,22,100.0,Shipped
2004-09-16,Planes,"Clover Collections, Co.",Ireland,4061.76,32,100.0,Shipped
2004-10-15,Planes,Mini Classics,USA,3493.7,31,100.0,Shipped
2004-11-01,Planes,giftsbymail.co.uk,UK,2872.25,25,100.0,Shipped
2004-11-12,Planes,Rovelli Gifts,Italy,4114.38,47,87.54,Shipped
2004-11-23,Planes,"Tokyo Collectables, Ltd",Japan,1063.65,21,50.65,Shipped
2004-12-04,Planes,Gift Ideas Corp.,USA,2008.44,28,71.73,Shipped
2005-02-02,Planes,"Australian Gift Network, Co",Australia,4328.6,46,94.1,Shipped
2005-03-01,Planes,Euro Shopping Channel,Spain,1376.43,33,41.71,Resolved
2005-03-30,Planes,Reims Collectables,France,5552.16,43,100.0,Shipped
2005-04-03,Planes,Tekni Collectables Inc.,USA,3659.02,38,96.29,On Hold
2005-05-10,Planes,L'ordine Souveniers,Italy,4165.61,47,88.63,Shipped
2003-01-09,Vintage Cars,"Blauer See Auto, Co.",Germany,1404.0,45,31.2,Shipped
2003-03-18,Vintage Cars,"AV Stores, Co.",UK,710.2,20,35.51,Shipped
2003-05-21,Vintage Cars,Signal Gift Stores,USA,1702.8,45,37.84,Shipped
2003-09-12,Vintage Cars,Signal Collectibles Ltd.,USA,1194.84,36,33.19,Shipped
2003-10-18,Vintage Cars,Corporate Gift Ideas Co.,USA,1007.14,37,27.22,Shipped
2003-11-05,Vintage Cars,Rovelli Gifts,Italy,977.43,31,31.53,Shipped
2003-11-12,Vintage Cars,Mini Gifts Distributors Ltd.,USA,1436.76,39,36.84,Shipped
2003-11-21,Vintage Cars,"Australian Collectables, Ltd",Australia,759.46,26,29.21,Shipped
2003-12-03,Vintage Cars,Euro Shopping Channel,Spain,1189.44,32,37.17,Shipped
2004-01-26,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,683.8,20,34.19,Shipped
2004-03-02,Vintage Cars,"Saveley & Henriot, Co.",France,1226.82,42,29.21,Shipped
2004-04-26,Vintage Cars,Diecast Collectables,USA,974.82,33,29.54,Shipped
2004-08-17,Vintage Cars,Amica Models & Co.,Italy,577.6,20,28.88,Shipped
2004-09-01,Vintage Cars,Handji Gifts& Co,Singapore,1106.93,29,38.17,Shipped
2004-10-11,Vintage Cars,Auto Assoc. & Cie.,France,694.6,23,30.2,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,1152.06,39,29.54,Shipped
2004-11-04,Vintage Cars,Online Diecast Creations Co.,USA,2624.0,20,100.0,Shipped
2004-11-17,Vintage Cars,"AV Stores, Co.",UK,3685.95,45,81.91,Shipped
2004-11-25,Vintage Cars,Marseille Mini Autos,France,703.6,20,35.18,Shipped
2004-12-09,Vintage Cars,Lyon Souveniers,France,9720.0,48,100.0,Shipped
2005-01-12,Vintage Cars,Toys4GrownUps.com,USA,834.67,23,36.29,Resolved
2005-02-16,Vintage Cars,Euro Shopping Channel,Spain,2257.92,32,70.56,Shipped
2005-03-09,Vintage Cars,"Anna's Decorations, Ltd",Australia,8344.71,33,100.0,Shipped
2005-04-23,Vintage Cars,Handji Gifts& Co,Singapore,1801.94,61,29.54,Shipped
2005-05-29,Vintage Cars,Souveniers And Things Co.,Australia,1209.6,45,26.88,In Process
2003-02-24,Motorcycles,Land of Toys Inc.,USA,3155.14,38,83.03,Shipped
2003-04-29,Motorcycles,"Australian Collectors, Co.",Australia,2848.86,34,83.79,Shipped
2003-07-01,Motorcycles,Lyon Souveniers,France,3570.29,43,83.03,Shipped
2003-08-25,Motorcycles,Toys4GrownUps.com,USA,3902.41,47,83.03,Shipped
2003-10-10,Motorcycles,Baane Mini Imports,Norway,1474.66,22,67.03,Shipped
2003-10-28,Motorcycles,Technics Stores Inc.,USA,2186.89,29,75.41,Shipped
2003-11-11,Motorcycles,Daedalus Designs Imports,France,1919.4,28,68.55,Shipped
2003-11-18,Motorcycles,Herkku Gifts,Norway,3656.0,40,91.4,Shipped
2003-12-01,Motorcycles,Mini Wheels Co.,USA,1847.0,25,73.88,Shipped
2004-01-12,Motorcycles,Osaka Souveniers Co.,Japan,1851.0,30,61.7,Shipped
2004-02-20,Motorcycles,"Australian Collectors, Co.",Australia,2633.78,38,69.31,Shipped
2004-04-03,Motorcycles,Motor Mint Distributors Inc.,USA,3153.6,36,87.6,Shipped
2004-05-11,Motorcycles,The Sharp Gifts Warehouse,USA,2803.2,32,87.6,Shipped
2004-06-28,Motorcycles,Gift Depot Inc.,USA,2311.02,37,62.46,Shipped
2004-07-23,Motorcycles,La Rochelle Gifts,France,2399.4,30,79.98,Shipped
2004-08-27,Motorcycles,Marta's Replicas Co.,USA,2733.12,39,70.08,Shipped
2004-09-16,Motorcycles,"Clover Collections, Co.",Ireland,2096.32,32,65.51,Shipped
2004-10-15,Motorcycles,Mini Classics,USA,2971.34,47,63.22,Shipped
2004-11-02,Motorcycles,Diecast Classics Inc.,USA,2257.58,26,86.83,Shipped
2004-11-15,Motorcycles,Land of Toys Inc.,USA,3493.91,37,94.43,Shipped
2004-11-24,Motorcycles,Enaco Distributors,Spain,4398.9,55,79.98,Shipped
2005-01-06,Motorcycles,Suominen Souveniers,Finland,3595.62,21,100.0,Shipped
2005-02-03,Motorcycles,La Rochelle Gifts,France,2443.29,23,100.0,Shipped
2005-03-03,Motorcycles,Scandinavian Gift Ideas,Sweden,3988.6,49,81.4,Shipped
2005-04-07,Motorcycles,Auto Canal Petit,France,5168.4,59,87.6,Shipped
2005-05-10,Motorcycles,L'ordine Souveniers,Italy,2803.2,32,87.6,Shipped
2003-02-11,Ships,Danish Wholesale Imports,Denmark,6341.21,43,100.0,Shipped
2003-04-16,Ships,"Dragon Souveniers, Ltd.",Singapore,5189.78,41,100.0,Shipped
2003-06-12,Ships,"Stylish Desk Decors, Co.",UK,6027.75,45,100.0,Shipped
2003-08-08,Ships,Mini Gifts Distributors Ltd.,USA,3366.0,33,100.0,Shipped
2003-09-28,Ships,Euro Shopping Channel,Spain,5456.4,40,100.0,Shipped
2003-10-23,Ships,Scandinavian Gift Ideas,Sweden,3812.16,33,100.0,Cancelled
2003-11-07,Ships,CAF Imports,Spain,6083.0,50,100.0,Shipped
2003-11-14,Ships,Mini Creations Ltd.,USA,3170.7,30,100.0,Shipped
2003-11-26,Ships,Enaco Distributors,Spain,4534.6,41,100.0,Shipped
2004-01-02,Ships,"Saveley & Henriot, Co.",France,4301.15,35,100.0,Shipped
2004-02-18,Ships,Petit Auto,Belgium,6804.63,49,100.0,Shipped
2004-03-20,Ships,giftsbymail.co.uk,UK,5652.94,46,100.0,Shipped
2004-05-07,Ships,Land of Toys Inc.,USA,6960.48,48,100.0,Cancelled
2004-06-17,Ships,Quebec Home Shopping Network,Canada,4512.6,36,100.0,Shipped
2004-07-21,Ships,Petit Auto,Belgium,2784.76,22,100.0,Shipped
2004-08-20,Ships,"Royal Canadian Collectables, Ltd.",Canada,5316.36,42,100.0,Shipped
2004-09-09,Ships,Amica Models & Co.,Italy,2941.89,21,100.0,Shipped
2004-10-14,Ships,"AV Stores, Co.",UK,3207.4,29,100.0,Shipped
2004-10-29,Ships,La Rochelle Gifts,France,4215.05,35,100.0,Shipped
2004-11-09,Ships,"Volvo Model Replicas, Co",Sweden,4333.29,41,100.0,Shipped
2004-11-21,Ships,Classic Legends Inc.,USA,2087.13,29,71.97,Shipped
2004-12-02,Ships,Euro Shopping Channel,Spain,1711.22,34,50.33,Shipped
2005-01-26,Ships,"Tokyo Collectables, Ltd",Japan,3910.53,37,100.0,Shipped
2005-02-23,Ships,Corporate Gift Ideas Co.,USA,2255.12,28,80.54,Shipped
2005-03-23,Ships,Mini Gifts Distributors Ltd.,USA,5720.75,49,100.0,Shipped
2005-05-06,Ships,Gifts4AllAges.com,USA,3335.23,23,100.0,On Hold
2003-01-09,Vintage Cars,"Blauer See Auto, Co.",Germany,2472.96,46,53.76,Shipped
2003-03-18,Vintage Cars,"AV Stores, Co.",UK,1729.65,39,44.35,Shipped
2003-05-21,Vintage Cars,Signal Gift Stores,USA,995.5,22,45.25,Shipped
2003-09-12,Vintage Cars,Signal Collectibles Ltd.,USA,2414.72,49,49.28,Shipped
2003-10-18,Vintage Cars,Corporate Gift Ideas Co.,USA,1560.47,43,36.29,Shipped
2003-11-05,Vintage Cars,Rovelli Gifts,Italy,1112.94,27,41.22,Shipped
2003-11-12,Vintage Cars,Mini Gifts Distributors Ltd.,USA,1138.94,31,36.74,Shipped
2003-11-21,Vintage Cars,"Australian Collectables, Ltd",Australia,1012.4,20,50.62,Shipped
2003-12-03,Vintage Cars,Euro Shopping Channel,Spain,913.92,24,38.08,Shipped
2004-01-26,Vintage Cars,"Corrida Auto Replicas, Ltd",Spain,2349.06,49,47.94,Shipped
2004-03-02,Vintage Cars,"Saveley & Henriot, Co.",France,1161.12,24,48.38,Shipped
2004-04-29,Vintage Cars,Euro Shopping Channel,Spain,1764.75,39,45.25,Shipped
2004-06-04,Vintage Cars,Mini Caravy,France,1690.9,37,45.7,Shipped
2004-08-17,Vintage Cars,Amica Models & Co.,Italy,2137.05,45,47.49,Shipped
2004-09-03,Vintage Cars,Herkku Gifts,Norway,2177.1,45,48.38,Shipped
2004-10-11,Vintage Cars,Auto Assoc. & Cie.,France,1734.48,44,39.42,Shipped
2004-10-21,Vintage Cars,Mini Gifts Distributors Ltd.,USA,865.49,23,37.63,Shipped
2004-11-04,Vintage Cars,Online Diecast Creations Co.,USA,3500.1,30,100.0,Shipped
2004-11-17,Vintage Cars,"AV Stores, Co.",UK,2223.52,26,85.52,Shipped
2004-11-25,Vintage Cars,Atelier graphique,France,2311.68,43,53.76,Shipped
2004-12-09,Vintage Cars,Lyon Souveniers,France,828.36,26,31.86,Shipped
2005-01-12,Vintage Cars,Toys4GrownUps.com,USA,856.52,28,30.59,Resolved
2005-02-16,Vintage Cars,Euro Shopping Channel,Spain,1845.45,27,68.35,Shipped
2005-03-09,Vintage Cars,"Anna's Decorations, Ltd",Australia,4042.08,24,100.0,Shipped
2005-05-29,Vintage Cars,Mini Gifts Distributors Ltd.,USA,1828.0,40,45.7,In Process
2003-01-29,Trucks and Buses,Baane Mini Imports,Norway,3680.28,36,100.0,Shipped
2003-04-01,Trucks and Buses,"La Corne D'abondance, Co.",France,2925.09,21,100.0,Shipped
2003-05-28,Trucks and Buses,"Corrida Auto Replicas, Ltd",Spain,3415.77,27,100.0,Shipped
2003-07-24,Trucks and Buses,Technics Stores Inc.,USA,5105.14,47,100.0,Shipped
2003-09-21,Trucks and Buses,"Oulu Toy Supplies, Inc.",Finland,5098.8,42,100.0,Shipped
2003-10-22,Trucks and Buses,"Dragon Souveniers, Ltd.",Singapore,4661.76,32,100.0,Shipped
2003-11-06,Trucks and Buses,"Stylish Desk Decors, Co.",UK,2969.96,28,100.0,Shipped
2003-11-14,Trucks and Buses,"Iberia Gift Imports, Corp.",Spain,3496.32,24,100.0,Shipped
2003-11-25,Trucks and Buses,"Saveley & Henriot, Co.",France,5760.93,49,100.0,Shipped
2003-12-09,Trucks and Buses,Diecast Collectables,USA,6819.04,46,100.0,Shipped
2004-02-04,Trucks and Buses,Handji Gifts& Co,Singapore,3148.88,28,100.0,Shipped
2004-03-11,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,5704.32,48,100.0,Shipped
2004-05-05,Trucks and Buses,Euro Shopping Channel,Spain,3520.6,29,100.0,Shipped
2004-06-15,Trucks and Buses,Handji Gifts& Co,Singapore,5285.62,47,100.0,Shipped
2004-07-20,Trucks and Buses,Mini Gifts Distributors Ltd.,USA,5605.05,43,100.0,Shipped
